Iteration,Distance
85,3126.69
1212,3124.36
1214,3070.35
3897,3060.65
5133,3058.80
5135,3057.02
5650,3049.69
7420,3048.92
14470,3041.42
14584,3040.02
14609,3034.44
14690,3024.35
15344,3023.57
18310,3018.38
18913,3003.94
20255,3000.04
26073,2992.50
26697,2982.61
34167,2971.23
34356,2966.55
34409,2961.37
34410,2917.54
35933,2917.17
35934,2916.99
36008,2915.64
36016,2905.75
36086,2904.84
37407,2898.11
37410,2879.85
37443,2878.19
37965,2867.99
38578,2857.58
38614,2856.28
39888,2850.17
53033,2848.78
53185,2846.67
53258,2843.05
53406,2838.21
73322,2829.81
74407,2823.18
75076,2816.66
75913,2813.50
91813,2809.64
111569,2806.91
111570,2790.31
112045,2786.18
115530,2775.03
115569,2773.61
115570,2763.72
120082,2761.97
120613,2755.47
132502,2737.93
135231,2737.80
136031,2729.80
141921,2724.01
152116,2724.01
174019,2719.32
180538,2716.05
189130,2707.08
189227,2698.05
