Iteration,Distance
955,40096.25
956,40034.25
116540,39749.46
1622740,39712.27
1626392,39519.68
2838801,39513.54
3566795,39500.39
3580677,39496.87
4148978,39479.33
4199513,39449.74
4202697,39426.64
4223179,39316.75
4251401,39149.92
4300860,39128.70
4301310,39112.68
4303092,39105.66
4303908,39010.52
4399031,38913.52
4399326,38861.60
4502701,38807.78
4502837,38784.73
4600506,38718.24
5194574,38714.75
5340630,38703.32
5340936,38685.21
5579576,38683.29
9681158,38635.22
13975951,38258.58
14852561,38195.45
15858601,38192.11
15916359,38167.15
15946036,38151.55
15954096,38149.28
16202167,38078.17
16203175,38075.04
16717638,38049.21
16719813,38041.91
16884170,38023.20
16949055,38004.33
17140972,37998.54
17146494,37996.17
17147400,37992.82
17159443,37961.81
17198492,37960.20
17213114,37939.42
17241444,37808.72
17486821,37774.68
17565417,37732.19
17570609,37724.62
17621559,37722.27
18290165,37692.10
19262283,37679.41
19266483,37643.52
19448707,37630.69
19486510,37614.81
19486511,37587.39
19487733,37584.21
19488058,37581.62
19488234,37541.96
19488396,37525.64
19488654,37440.38
19553224,37433.77
19727396,37414.08
20087600,37386.76
20544713,37363.85
20545191,37280.24
21084526,37173.93
22111322,37120.36
22859656,36813.31
22859658,36795.65
23589758,36761.59
25636684,36696.72
25649611,36693.37
25725506,36690.47
27740245,36653.30
27951240,36650.07
28469283,36643.94
28510215,36585.15
35077583,36562.86
36701442,36559.76
36701443,36511.04
36729884,36492.26
36757925,36468.63
36758078,36432.69
36782810,36413.81
36786048,36406.68
37202040,36399.12
37210338,36394.35
37592711,36380.63
38976567,36376.12
38978517,36335.51
38978993,36331.66
39096370,36322.49
56666014,36321.77
57248210,36315.68
58115339,36309.11
58465332,36289.39
58466788,36248.38
77953616,36228.61
97441409,36180.34
