NAME,EDGE_WEIGHT_TYPE,DIMENSION,AVERAGE_NODE_DISTANCE,NNH_AVERAGE_TIME,NNH_AVERAGE_DISTANCE,NNH_BEST_DISTANCE,NNH_BEST_DISTANCE_TIMEBASE,NNH_2OPT_AVERAGE_TIME,NNH_2OPT_AVERAGE_DISTANCE,NNH_2_OPT_AVERAGE_ITERATIONS,NNH_2OPT_BEST_DISTANCE,NNH_2OPT_BEST_DISTANCE_TIMEBASE,NNH_2_OPT_BEST_DISTANCE_ITERATIONS,NNH_3OPT_AVERAGE_TIME,NNH_3OPT_AVERAGE_DISTANCE,NNH_3_OPT_AVERAGE_ITERATIONS,NNH_3OPT_BEST_DISTANCE,NNH_3OPT_BEST_DISTANCE_TIMEBASE,NNH_3OPT_BEST_DISTANCE_ITERATIONS,ACO_AVERAGE_TIME,ACO_AVERAGE_DISTANCE,ACO_BEST_DISTANCE,ACO_BEST_DISTANCE_TIMEBASE,SA_AVERAGE_TIME,SA_AVERAGE_DISTANCE,SA_BEST_DISTANCE,SA_BEST_DISTANCE_TIMEBASE,NIH_AVERAGE_TIME,NIH_AVERAGE_DISTANCE,NIH_AVERAGE_ITERATIONS,NIH_BEST_DISTANCE,NIH_BEST_DISTANCE_TIMEBASE,NIH_BEST_DISTANCE_ITERATIONS,COMMENT
burma14,GEO,14,4.407980896,0.151245713,30.69779726,26.92,0.146650553,0.145598125,27.41717717,15.2,24.84,0.139991045,54,0.222995599,28.5399568,41,27.47,0.201999664,63,1.606537342,24.88348015,24.88,1.405023813,0.567705154,27.8328193,26.6,0.489359379,0.139041106,28.5888989,165.3333333,27.45,0.147992849,166,14-Staedte in Burma (Zaw Win)
ulysses16,GEO,16,8.932564657,0.14086709,45.04388833,39.97,0.156998873,0.158690882,41.91029708,91.2,38.61,0.143990755,49,0.140657743,40.74511727,238.6666667,37.95,0.14497757,1,1.542820573,35.35796693,35.28,1.563000917,0.413480838,49.52128702,43.64,0.400349855,0.153332869,47.08086455,143,44.31,0.153002739,193,Odyssey of Ulysses (Groetschel/Padberg)
ulysses22,GEO,22,8.269793175,0.173642755,45.45950345,40.67,0.162011862,0.203799295,43.11674456,233.2,39.73,0.19197917,177,0.155329466,42.10007015,18,40.35,0.165990591,1,2.623574972,37.6539821,37.4,2.542041779,0.466816823,58.87663033,46.41,0.535223961,0.222999414,49.87526902,285,48.4,0.208996773,397,Odyssey of Ulysses (Groetschel/Padberg)
att48,ATT,48,3284.638459,0.328205132,37160.91171,35339.55,0.295396328,1.945033026,33262.82922,1721.8,32580.87,1.918059587,1462,1.882504702,35944.57032,11428.33333,33618.9,2.456922531,28062,14.60383475,33415.2463,33191.53,14.59087181,0.536434174,57285.61254,54507.53,0.524734497,0.987791936,34353.86067,2090.666667,33720.78,1.040757179,1764,48 capitals of the US (Padberg/Rinaldi)
a280,EUC_2D,280,121.8168388,0.31907382,3165.037869,3100.39,0.32423234,465.5711546,2778.624,141553.8,2698.05,478.2019567,189227,6537.628454,2906.583333,19833683,2879.45,4412.519791,17508242,40.72153974,4237.560063,4148.46,41.92617464,2.379493316,20347.42714,19550.47,1.877949476,118.6210326,3023.711463,68283.33333,2951.91,118.6971102,65473,drilling problem (Ludwig)
berlin52,EUC_2D,52,575.2634949,0.306658483,8475.395072,8204.68,0.25642705,2.570825243,7586.175517,3088.4,7464.33,3.115809441,3594,3.055708806,8005.144113,44191.66667,7646.4,2.789777517,39089,19.40571856,7304.335291,7229.64,20.47911763,0.640268564,13713.49907,13282.63,0.577228308,1.356099526,8901.005815,2191.333333,8850.19,1.56684041,1379,52 locations in Berlin (Groetschel)
bier127,EUC_2D,127,4952.476091,0.38778739,135122.8899,128823.58,0.374635458,52.17274227,118615.2238,27198.4,116980.56,64.5568254,39220,184.8410858,122985.358,1113837.333,117911.04,277.4320407,1759301,122.6647805,121717.3468,120272.54,121.6264231,0.961955229,343239.1986,336256.83,0.921026707,12.98272014,135824.2745,15275,134007.65,13.59119463,15360,127 Biergaerten in Augsburg (Juenger/Reinelt)
ch130,EUC_2D,130,356.2238798,0.410070705,7154.519809,6798.03,0.355355978,40.46512918,6581.872599,18703,6364.35,45.66520929,24721,167.6164953,6705.46823,1013515.667,6629.36,288.3852289,2024831,128.1630015,6612.780415,6541.71,124.6478279,0.960919062,23899.66095,22557.03,0.944862604,18.1238265,6707.762063,15720.33333,6684.63,19.85876036,14541,130 city problem (Churritz)
ch150,EUC_2D,150,359.3106491,0.387642527,7347.191154,6942.9,0.380685329,50.44161696,6790.72331,18945.4,6655.45,47.58173728,21064,279.2424812,6954.494689,1393082,6806.93,253.3618295,1009735,173.6815051,7253.829873,7102.28,171.5522051,1.253303766,28520.76874,27926.81,1.172653437,20.50527962,7613.119298,21542.66667,7552.33,23.73021984,20536,150 city Problem (churritz)
d198,EUC_2D,198,962.7615674,0.435351872,16818.80825,16338.16,0.470156431,162.5098528,15091.90345,58670.2,14460.15,198.4718432,61472,9080.299859,15225.05667,2974265.667,15087.07,9379.292482,2846158,180.0220388,15950.90084,15892.17,175.7032185,1.381656726,94655.70844,87591.3,1.507509232,31.91944758,17026.7956,38141.66667,16877.74,35.49666643,37810,Drilling problem (Reinelt)
