NNH_2Opt_Iteration,NNH_2Opt_Distance,NNH_3Opt_Iteration,NNH_3Opt_Distance
419,59167.53,396,61208.37
9451,59067.53,26656,61200.06
11508,58843.92,284895,61122.84
12744,58828.67,532979,61116.62
17460,58796.49,572538,61091.97
23317,58695.84,1716401,61013.74
34710,58692.94,1748733,60979.89
43123,58690.82,1767909,60866.88
44748,58643.53,1835088,60785.07
47610,58568.88,6130728,60774.61
48235,58446.32,7633335,60740.82
48856,58383.63,7643377,60694.08
49473,58252.65,7648750,60336.28
50086,58219.26,7738726,60277.19
50391,58201.45,8132114,60100.43
62580,58160.03,8133008,60036.91
62823,58156.72,8469384,60002.45
63289,58047.35,8594359,59918
64637,57933.14,8610309,59476.67
67156,57882.45,9000928,59468.51
76040,57878.76,9041295,59435.16
76519,57850.62,9549479,59399.53
76954,57834.35,10187154,59392.98
77152,57764.63,11273409,59390.59
79062,57715.87,11275162,59376.74
79447,57519.29,12254080,59315.67
79513,57504.64,12601224,59217.2
81622,57500.73,12601291,59146.31
82148,57320.4,12700830,59128.15
83835,57310.87,13405089,59050.67
83996,57302.08,13419269,59026.71
85092,57282.82,13420445,58998.42
85397,57254.52,14004825,58798.53
85422,57234.53,14004835,58716.22
85423,57210.43,14004836,58514.24
85567,57115.43,14088920,58474.03
91133,57052.55,14089688,58239.19
91134,56599.87,14973025,58212.56
91352,56560.79,15572741,58199.13
92466,56503.29,15572742,58145.16
96882,56479.46,21803213,58098.58
97051,56349.65,21937536,58052.4
97464,56291.07,22228511,58022.62
111013,56231.88,22935157,58008.78
112231,56191.96,23142092,57967.05
140087,56118.96,23182901,57933.3
140095,56078.2,24117009,57894.89
140417,56021,24271521,57831.29
140422,56021,24278479,57792.43
141715,55996.74,26465624,57776.42
142360,55988.04,26491910,57639.04
159588,55982.94,26502159,57624.28
159679,55939.79,26573463,57567.18
159681,55898.74,26573469,57123.41
159697,55709.29,26573667,57045.15
160240,55523.03,26594171,57030.06
160241,55522.59,26594372,56993.61
160242,55383.74,27204679,56872.5
160648,55327.7,27875054,56826.39
160905,55316.48,28009103,56793.93
162527,55309.9,28020527,56734.42
164638,55292.08,28022165,56668.06
174563,55289.51,36902960,56639.46
182720,55281.48,36905117,56553.35
211452,55219.38,37238538,56527.75
215564,55175.85,38236417,56516.49
215565,55155.64,38355555,56455.93
215953,55106.92,40473194,56429.61
249370,54950.76,40493334,56245.15
263809,54867.92,50587007,56224.88
264956,54853.67,50587617,56122.08
265635,54730.06,63981572,56058.88
287673,54686.85,77983175,56032.34
310214,54604.01,
